audit_tags,brooks_setup_types,brooks_status,code,entry_archetype,expire_date,fill_reason,multi_path_confirmed,order_id,parameter_set_id,passed_path_count,setup_id,signal_date,status,tail_path,tail_path_summary,tail_paths,tail_primary_path
[],"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,000829,SUPPORT_PULLBACK,2024-11-19,FILLED_FROZEN_PLAN,True,s6order-c14bcf166847d981025a,s6ps-92f310712192eee3,2,s6setup-085cfe806f3931768d77,2024-11-14,FILLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,002142,SUPPORT_PULLBACK,2024-10-29,FILLED_FROZEN_PLAN,True,s6order-cdc1c1559b5b461d50d7,s6ps-92f310712192eee3,3,s6setup-ffdd0041308f3fe5cc72,2024-10-24,FILLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX"", ""BROOKS""]",ORIGINAL
[],[],BROOKS_FAILED,300139,SUPPORT_PULLBACK,2024-11-05,FILLED_FROZEN_PLAN,False,s6order-6e3d05d911d5f13bcedf,s6ps-92f310712192eee3,1,s6setup-07f14cf51322453b8607,2024-10-31,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],"[""MICRO_DOUBLE_BOTTOM"", ""BEAR_FOLLOW_THROUGH_FAILED""]",MICRO_DOUBLE_BOTTOM,300276,SUPPORT_PULLBACK,2024-12-31,FILLED_FROZEN_PLAN,False,s6order-b26761d0f8cb622cc1b5,s6ps-92f310712192eee3,1,s6setup-803ae6b4233c676c4f49,2024-12-26,FILLED,BOX,BOX,"[""BOX""]",BOX
[],"[""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_FAILED,300781,SUPPORT_PULLBACK,2024-04-08,FILLED_FROZEN_PLAN,True,s6order-2bc92ba892b1b0048fd0,s6ps-92f310712192eee3,2,s6setup-6d464b8c5b5936e80a75,2024-04-01,FILLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],"[""MICRO_DOUBLE_BOTTOM"", ""SECOND_ENTRY_LONG_READY"", ""FAILED_BEAR_BREAKOUT""]",BROOKS_CONTEXT_REJECT,601138,SUPPORT_PULLBACK,2024-07-05,FILLED_FROZEN_PLAN,True,s6order-d9f3f25260f0107abbad,s6ps-92f310712192eee3,2,s6setup-e7c90a3f467ca60587d1,2024-07-02,FILLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT"", ""BEAR_FOLLOW_THROUGH_FAILED"", ""ORDERLY_COMPRESSION_AT_SUPPORT""]",BROOKS_FAILED_BREAKOUT_READY,603078,FAILED_BREAKOUT_RECLAIM,2024-12-17,CANCEL_OPEN_BELOW_BUY_ZONE,True,s6order-c6f23044a675b848723a,s6ps-92f310712192eee3,3,s6setup-1dcca931d4d63dc9976a,2024-12-12,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX"", ""BROOKS""]",ORIGINAL
[],"[""ORDERLY_COMPRESSION_AT_SUPPORT""]",ORDERLY_COMPRESSION_AT_SUPPORT,688027,SUPPORT_PULLBACK,2024-12-10,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-d6fc39abd9d43f089e17,s6ps-92f310712192eee3,2,s6setup-cc6c31f79103fda91a9f,2024-12-05,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
