box_quality_tag,box_status,brooks_setup_types,brooks_status,candidate_type,code,commission,compact_kline_pass,entry_archetype,entry_date,entry_price,exit_date,exit_price,exit_reason,intraday_stop_breach,market_status,multi_path_confirmed,net_profit,net_return,parameter_set_id,passed_path_count,path_evidence_band,path_evidence_score,pattern_type,r_multiple,score_model_version,setup_id,setup_quality_band,setup_quality_score,signal_date,slippage,start_event_quality_score,start_quality_band,stop_loss_price,support_reaction_band,support_reaction_score,tail_path,tail_path_summary,tail_paths,tail_primary_path,tax,total_score,trade_id
NONE,BOX_SUPPORT_READY,"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,WATCH_CANDIDATE,688480,10.0,False,SUPPORT_PULLBACK,2025-10-31,51.53148,2025-11-21,47.34261,STOP,False,MARKET_STRONG,True,-431.353014,-0.0837067,s6ps-92f310712192eee3,2,15-19,15,UNKNOWN,-1.011443,S6_QUALITY_V2,s6setup-1ee9a9afea96750fe1f1,10-14,13,2025-10-30,0.098874,18,15-19,47.39,05-09,8,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL,2.466005,70,s6trade-35b58397aadf071175ce
NONE,BOX_STABLE,"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT"", ""BEAR_FOLLOW_THROUGH_FAILED""]",FAILED_BEAR_BREAKOUT,WATCH_CANDIDATE,688498,13.497541,False,SUPPORT_PULLBACK,2025-07-15,199.199,2025-07-31,250.71903,TARGET,False,MARKET_STRONG,True,5125.51955,0.25730649,s6ps-92f310712192eee3,2,15-19,15,UNKNOWN,4.588123,S6_QUALITY_V2,s6setup-e7988503288262c6e9da,10-14,13,2025-07-14,0.449918,18,15-19,187.97,10-14,10,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL,12.98587,69,s6trade-18422e4c1b1ed0aecc60
NONE,BOX_STABLE,"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT""]",BROOKS_FAILED_BREAKOUT_READY,KEY_CANDIDATE,688499,10.0,False,FAILED_BREAKOUT_RECLAIM,2025-07-16,41.041,2025-07-18,49.08087,TARGET,False,MARKET_STRONG,True,791.442852,0.192842,s6ps-92f310712192eee3,3,15-19,15,UNKNOWN,3.524713,S6_QUALITY_V2,s6setup-9425b6f1af2efec011d4,15-19,17,2025-07-15,0.090122,20,20-24,38.76,10-14,10,BOTH,MULTI,"[""ORIGINAL"", ""BOX"", ""BROOKS""]",ORIGINAL,2.544165,77,s6trade-8e56fcf3c4018514ffe3
BOX_COMPACT_READY,BOX_STABLE,"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT"", ""ORDERLY_COMPRESSION_AT_SUPPORT""]",BROOKS_FAILED_BREAKOUT_READY,WATCH_CANDIDATE,688499,10.0,True,FAILED_BREAKOUT_RECLAIM,2025-07-17,39.91988,2025-07-18,48.20175,TARGET,False,MARKET_STRONG,True,815.688776,0.20433147,s6ps-92f310712192eee3,3,15-19,15,UNKNOWN,8.718859,S6_QUALITY_V2,s6setup-7df94c56685a2b5bee69,10-14,14,2025-07-16,0.088122,20,20-24,38.97,10-14,10,BOTH,MULTI,"[""ORIGINAL"", ""BOX"", ""BROOKS""]",ORIGINAL,2.4982089999999997,73,s6trade-239302e063422df49f94
NONE,BOX_BREAKOUT_READY,"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,WATCH_CANDIDATE,688501,10.0,False,SUPPORT_PULLBACK,2025-05-15,28.61859,2025-06-13,28.24173,MAX_HOLDING,False,MARKET_NEUTRAL,True,-49.154947,-0.01717588,s6ps-92f310712192eee3,2,15-19,15,UNKNOWN,-0.218016,S6_QUALITY_V2,s6setup-dfe520807e0db502e5f0,10-14,12,2025-05-14,0.05686,18,15-19,26.89,05-09,7,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL,1.468947,69,s6trade-097d488f05d0f88da426
BOX_COMPACT_READY,BOX_BREAKOUT_READY,"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,WATCH_CANDIDATE,688501,10.0,True,SUPPORT_PULLBACK,2025-05-19,28.88886,2025-06-17,27.34263,STOP,False,MARKET_NEUTRAL,True,-166.04635,-0.05747764,s6ps-92f310712192eee3,3,15-19,15,UNKNOWN,-1.01802,S6_QUALITY_V2,s6setup-0f91ffcd59c0cb319b88,10-14,12,2025-05-16,0.056231,18,15-19,27.37,05-09,5,BOTH,MULTI,"[""ORIGINAL"", ""BOX"", ""BROOKS""]",ORIGINAL,1.423362,66,s6trade-9586f5f99a1d8a73cfe3
BOX_COMPACT_READY,BOX_BREAKOUT_READY,"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,WATCH_CANDIDATE,688501,10.0,True,SUPPORT_PULLBACK,2025-05-20,29.13911,2025-05-27,27.5724,STOP,False,MARKET_NEUTRAL,True,-168.106323,-0.05769096,s6ps-92f310712192eee3,3,15-19,15,UNKNOWN,-1.017932,S6_QUALITY_V2,s6setup-aa7d8acf4755c3e308ec,10-14,12,2025-05-19,0.056712,18,15-19,27.6,10-14,10,BOTH,MULTI,"[""ORIGINAL"", ""BOX"", ""BROOKS""]",ORIGINAL,1.435332,70,s6trade-8e5893aa777eea6bd85c
BOX_COMPACT_READY,BOX_BREAKOUT_READY,"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,WATCH_CANDIDATE,688501,10.0,True,SUPPORT_PULLBACK,2025-05-22,29.5295,2025-05-27,28.14183,STOP,False,MARKET_STRONG,True,-150.231774,-0.05087515,s6ps-92f310712192eee3,3,15-19,15,UNKNOWN,-1.020721,S6_QUALITY_V2,s6setup-1a854159058baa7ac0fc,10-14,12,2025-05-21,0.057671,18,15-19,28.17,05-09,8,BOTH,MULTI,"[""ORIGINAL"", ""BOX"", ""BROOKS""]",ORIGINAL,1.464763,69,s6trade-fa2c402367b723f225ca
NONE,BOX_SUPPORT_READY,"[""MICRO_DOUBLE_BOTTOM"", ""SECOND_ENTRY_LONG_READY"", ""FAILED_BEAR_BREAKOUT""]",BROOKS_CONTEXT_REJECT,KEY_CANDIDATE,688507,10.0,False,SUPPORT_PULLBACK,2025-08-22,102.22212,2025-09-03,94.82508,STOP,False,MARKET_STRONG,True,-754.64233,-0.07382378,s6ps-92f310712192eee3,2,15-19,15,UNKNOWN,-1.012999,S6_QUALITY_V2,s6setup-987937c145bed8deb782,15-19,16,2025-08-21,0.197047,19,15-19,94.92,10-14,10,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL,4.938301,75,s6trade-d317188e00062bc3fcb3
BOX_COMPACT_READY,BOX_BREAKOUT_READY,"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,WATCH_CANDIDATE,688619,10.0,True,SUPPORT_PULLBACK,2025-08-12,15.1151,2025-08-15,18.04194,TARGET,False,MARKET_STRONG,True,281.748744,0.18640217,s6ps-92f310712192eee3,3,15-19,15,UNKNOWN,6.575691,S6_QUALITY_V2,s6setup-e1c90a5393f6e38a6a7d,10-14,14,2025-08-11,0.033157,20,20-24,14.67,05-09,7,BOTH,MULTI,"[""ORIGINAL"", ""BOX"", ""BROOKS""]",ORIGINAL,0.935254,75,s6trade-1a7f0ecb22b8fd849c83
BOX_COMPACT_READY,BOX_BREAKOUT_READY,"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,WATCH_CANDIDATE,688663,10.0,True,SUPPORT_PULLBACK,2025-07-29,31.6316,2025-07-30,33.62634,TARGET,False,MARKET_STRONG,True,187.727409,0.05934806,s6ps-92f310712192eee3,3,15-19,15,PLATFORM,1.810766,S6_QUALITY_V2,s6setup-21392e3a9f8d76d3f882,15-19,19,2025-07-28,0.065258,19,15-19,30.53,05-09,7,BOTH,MULTI,"[""ORIGINAL"", ""BOX"", ""BROOKS""]",ORIGINAL,1.746575,76,s6trade-8a7b9e532ae0be35bb69
