box_quality_tag,box_status,brooks_setup_types,brooks_status,candidate_type,code,commission,compact_kline_pass,entry_date,entry_price,exit_date,exit_price,exit_reason,intraday_stop_breach,market_status,multi_path_confirmed,net_profit,net_return,parameter_set_id,passed_path_count,pattern_type,r_multiple,setup_id,signal_date,slippage,stop_loss_price,tail_path,tail_path_summary,tail_paths,tail_primary_path,tax,total_score,trade_id
NONE,BOX_FORMING,[],BROOKS_FAILED,WATCH_CANDIDATE,300139,10.0,False,2024-11-01,19.43942,2024-11-15,17.45253,STOP,False,MARKET_STRONG,False,-209.598509,-0.10782138,s6ps-92f310712192eee3,1,UNKNOWN,-1.008871,s6setup-07f14cf51322453b8607,2024-10-31,0.036892,17.47,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL,0.909518,71,s6trade-2fc0a72c33370ced7ee1
BOX_COMPACT_READY,BOX_SUPPORT_READY,"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT"", ""BEAR_FOLLOW_THROUGH_FAILED"", ""ORDERLY_COMPRESSION_AT_SUPPORT""]",BROOKS_FAILED_BREAKOUT_READY,WATCH_CANDIDATE,603078,10.0,True,2024-12-13,18.79878,2024-12-16,17.4825,STOP,False,MARKET_STRONG,True,-142.538403,-0.07582322,s6ps-92f310712192eee3,3,UNKNOWN,-1.013474,s6setup-1dcca931d4d63dc9976a,2024-12-12,0.036281,17.5,BOTH,MULTI,"[""ORIGINAL"", ""BOX"", ""BROOKS""]",ORIGINAL,0.910406,71,s6trade-dd17c4d4c30c72830669
