audit_tags,brooks_setup_types,brooks_status,code,expire_date,fill_reason,multi_path_confirmed,order_id,parameter_set_id,passed_path_count,setup_id,signal_date,status,tail_path,tail_path_summary,tail_paths,tail_primary_path
[],"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,300622,2024-12-10,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-290205fae0e3d4f77b2a,s6ps-1eed9eeef41d8217,1,s6setup-13da6c45b5d49d0862b6,2024-12-05,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_CONTEXT_REJECT,300671,2024-11-05,FILLED_FROZEN_PLAN,False,s6order-76d0d5e18f6bba289c13,s6ps-1eed9eeef41d8217,1,s6setup-d2454cabd0055c13a98d,2024-10-31,FILLED,BOX,BOX,"[""BOX""]",BOX
[],"[""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_FAILED,300781,2024-04-08,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-3f668b94999d0ab93f00,s6ps-1eed9eeef41d8217,2,s6setup-6d464b8c5b5936e80a75,2024-04-01,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,600312,2024-06-28,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-f7c6b9f91d7ab81eb631,s6ps-1eed9eeef41d8217,2,s6setup-c72bafc2d96134d3950c,2024-06-25,CANCELLED,BOX,MULTI,"[""BOX"", ""BROOKS""]",BROOKS
[],[],BROOKS_CONTEXT_REJECT,600316,2024-11-19,FILLED_FROZEN_PLAN,False,s6order-3ab7d8eb445394df1d62,s6ps-1eed9eeef41d8217,1,s6setup-5557a5a7600aa536bf80,2024-11-14,FILLED,BOX,BOX,"[""BOX""]",BOX
[],[],COMPACT_BEARISH_REJECT,600415,2024-11-05,FILLED_FROZEN_PLAN,False,s6order-4b78249ef0877fd161a9,s6ps-1eed9eeef41d8217,1,s6setup-eac28ea53ffdad511a2a,2024-10-31,FILLED,BOX,BOX,"[""BOX""]",BOX
[],"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,600418,2024-09-24,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-330f9b4a2e0bcb24c1f3,s6ps-1eed9eeef41d8217,1,s6setup-9856079f5e2d0d43fc87,2024-09-19,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],"[""FAILED_BEAR_BREAKOUT"", ""BEAR_FOLLOW_THROUGH_FAILED""]",FAILED_BEAR_BREAKOUT,600601,2024-11-12,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-8faba33ee122d8fe020e,s6ps-1eed9eeef41d8217,1,s6setup-ea11752325e96b7712d9,2024-11-07,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],"[""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_FAILED,600843,2024-11-19,FILLED_FROZEN_PLAN,False,s6order-39edd78cbc7356547d1b,s6ps-1eed9eeef41d8217,1,s6setup-3c0b64943e06bf1b0862,2024-11-14,FILLED,BOX,BOX,"[""BOX""]",BOX
[],"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT""]",BROOKS_CONTEXT_REJECT,601127,2024-03-28,FILLED_FROZEN_PLAN,False,s6order-b7183ea8179e9bb2ea41,s6ps-1eed9eeef41d8217,1,s6setup-437d28e1721ada013542,2024-03-25,FILLED,BOX,BOX,"[""BOX""]",BOX
[],"[""MICRO_DOUBLE_BOTTOM"", ""SECOND_ENTRY_LONG_READY"", ""FAILED_BEAR_BREAKOUT""]",BROOKS_CONTEXT_REJECT,601138,2024-07-05,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-7b5b10c131f3106cf8cd,s6ps-1eed9eeef41d8217,2,s6setup-e7c90a3f467ca60587d1,2024-07-02,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],[],BROOKS_FAILED,601168,2024-04-08,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-a1f5ef99deade72f6f33,s6ps-1eed9eeef41d8217,2,s6setup-a8d44e8860c7bc613f58,2024-04-01,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],"[""MICRO_DOUBLE_BOTTOM"", ""SECOND_ENTRY_LONG_READY"", ""FAILED_BEAR_BREAKOUT"", ""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_CONTEXT_REJECT,601615,2024-12-17,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-4efcd3b39db12676e0db,s6ps-1eed9eeef41d8217,2,s6setup-8d97ee6c589ea1ecf708,2024-12-12,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT"", ""BEAR_FOLLOW_THROUGH_FAILED"", ""ORDERLY_COMPRESSION_AT_SUPPORT""]",BROOKS_FAILED_BREAKOUT_READY,603078,2024-12-17,FILLED_FROZEN_PLAN,True,s6order-6cca017c6a29ed45ab82,s6ps-1eed9eeef41d8217,3,s6setup-1dcca931d4d63dc9976a,2024-12-12,FILLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX"", ""BROOKS""]",ORIGINAL
[],"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,603893,2024-11-12,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-c175a5401f44c06dc308,s6ps-1eed9eeef41d8217,1,s6setup-df98d2cf1e6d759e262d,2024-11-07,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_FAILED,688015,2024-11-26,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-e94ee4ddb98b295cec12,s6ps-1eed9eeef41d8217,1,s6setup-379b47d4a8f9a2b84d9b,2024-11-21,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],"[""ORDERLY_COMPRESSION_AT_SUPPORT""]",ORDERLY_COMPRESSION_AT_SUPPORT,688027,2024-12-10,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-84b933e4b2f192b421a2,s6ps-1eed9eeef41d8217,2,s6setup-cc6c31f79103fda91a9f,2024-12-05,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],[],BROOKS_CONTEXT_REJECT,688278,2024-03-28,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-420e0b3ebad971190a60,s6ps-1eed9eeef41d8217,1,s6setup-f06222f7a04b3347b3a9,2024-03-25,CANCELLED,BOX,BOX,"[""BOX""]",BOX
