box_quality_tag,box_status,candidate_type,code,commission,compact_kline_pass,entry_date,entry_price,exit_date,exit_price,exit_reason,intraday_stop_breach,net_profit,net_return,parameter_set_id,r_multiple,setup_id,signal_date,slippage,stop_loss_price,tail_path,tax,total_score,trade_id
NONE,BOX_SUPPORT_READY,WATCH_CANDIDATE,300293,10.0,False,2024-10-30,28.23821,2024-11-11,39.10086,TARGET,False,1074.242616,0.38042164,s6ps-302e3a382d956a99,3.323731,s6setup-9bd84923404891e10b11,2024-10-29,0.067339,24.97,BOX,2.022382,70,s6trade-56cf938c2f8c74759292
NONE,BOX_STABLE,WATCH_CANDIDATE,300307,10.0,False,2025-03-13,9.73973,2025-04-03,9.13086,STOP,False,-71.362417,-0.0732694,s6ps-302e3a382d956a99,-1.01524,s6setup-94288502943025be722a,2025-03-12,0.018871,9.14,BOX,0.475414,72,s6trade-2008744f7742642481e1
BOX_COMPACT_READY,BOX_STABLE,WATCH_CANDIDATE,300450,10.0,True,2025-07-10,23.448425,2025-07-22,26.14383,TARGET,False,258.183714,0.11010706,s6ps-302e3a382d956a99,3.700319,s6setup-adf6c601c300982c2d25,2025-07-09,0.049592,22.72,BOX,1.356784,72,s6trade-c3812cd4714e73b9c7ff
NONE,BOX_SUPPORT_READY,KEY_CANDIDATE,300600,10.0,False,2025-08-26,20.6206,2025-08-27,18.74124,STOP,False,-198.912432,-0.09646297,s6ps-302e3a382d956a99,-1.010083,s6setup-505fdc69398e03985840,2025-08-25,0.039362,18.76,BOX,0.976424,75,s6trade-7c9817620fbd52ad487d
NONE,BOX_STABLE,WATCH_CANDIDATE,300603,10.0,False,2025-03-07,13.8138,2025-03-24,12.76722,STOP,False,-115.322948,-0.08348387,s6ps-302e3a382d956a99,-1.012362,s6setup-e4b882cc76f264f60fa3,2025-03-06,0.026581,12.78,BOX,0.6649419999999999,74,s6trade-5e8cd48c8f9d39e189a1
NONE,BOX_FORMING,KEY_CANDIDATE,300708,10.0,False,2025-01-23,13.67366,2025-02-28,12.55743,STOP,False,-122.277101,-0.08942529,s6ps-302e3a382d956a99,-1.011389,s6setup-01d20fc7b95e50754f8f,2025-01-22,0.026231,12.57,ORIGINAL,0.654103,76,s6trade-62881c6d543f463404d6
NONE,BOX_FORMING,KEY_CANDIDATE,301165,10.0,False,2025-09-12,63.188125,2025-10-20,59.251689,MAX_HOLDING,False,-406.728628,-0.06436789,s6ps-302e3a382d956a99,-0.709507,s6setup-a76a106f1fdb7676fc87,2025-09-11,0.12244,57.64,ORIGINAL,3.085024,78,s6trade-eb33a7bbb5827194cb4e
NONE,BOX_SUPPORT_READY,WATCH_CANDIDATE,301200,10.0,False,2025-11-12,115.14503,2025-11-21,107.35254,STOP,False,-794.839118,-0.06902939,s6ps-302e3a382d956a99,-1.013983,s6setup-2c4bbb328f5078d10720,2025-11-11,0.222498,107.46,BOX,5.590125,67,s6trade-52725d3e7ae22b05ecf5
BOX_COMPACT_READY,BOX_SUPPORT_READY,WATCH_CANDIDATE,301200,10.0,True,2025-11-14,116.18607,2025-11-19,109.57032,STOP_GAP,False,-677.279275,-0.05829264,s6ps-302e3a382d956a99,-1.069459,s6setup-92817d821589cb844253,2025-11-13,0.225756,110.0,BOTH,5.704272,69,s6trade-df3b362e5ff11965e465
NONE,BOX_FORMING,KEY_CANDIDATE,600010,10.0,True,2025-08-14,2.51251,2025-09-11,2.47752,MAX_HOLDING,False,-13.627867,-0.05424005,s6ps-302e3a382d956a99,-0.21531,s6setup-4fe377f3079b4d40efa0,2025-08-13,0.00499,2.35,ORIGINAL,0.128866,80,s6trade-d91dea86512ee3612c13
