audit_tags,code,expire_date,fill_reason,order_id,parameter_set_id,setup_id,signal_date,status,tail_path
[],688400,2025-03-14,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-8f6a7d7d86f7cfbc5fc0,s6ps-71bdb4dbb9c5c096,s6setup-e30b6543c9a4f715fb66,2025-03-11,CANCELLED,BOX
[],688403,2025-08-29,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-508de056e99ff9587d4d,s6ps-71bdb4dbb9c5c096,s6setup-228e8589ec4fb8ab919f,2025-08-26,CANCELLED,BOX
[],688409,2025-10-30,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-92556c2d1df7d2f815b9,s6ps-71bdb4dbb9c5c096,s6setup-2fea69aad44dbce802b3,2025-10-27,CANCELLED,BOX
[],688409,2025-10-31,FILLED_FROZEN_PLAN,s6order-32a83d9d73adfd33183a,s6ps-71bdb4dbb9c5c096,s6setup-45795528ad6336fc4943,2025-10-28,FILLED,BOX
[],688466,2025-08-25,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-11e31c4dcaa7270b26a5,s6ps-71bdb4dbb9c5c096,s6setup-bd351bf55507977990c2,2025-08-20,CANCELLED,BOX
[],688469,2025-10-24,FILLED_FROZEN_PLAN,s6order-48e7efaf5fdbde0e3f38,s6ps-71bdb4dbb9c5c096,s6setup-4f26f5b925788d16026b,2025-10-21,FILLED,BOX
[],688469,2025-10-29,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-ef33ad20c824d2e05304,s6ps-71bdb4dbb9c5c096,s6setup-322030e984a8fb4284d5,2025-10-24,CANCELLED,BOX
[],688469,2025-10-30,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-8fa6d1158e2db00b7699,s6ps-71bdb4dbb9c5c096,s6setup-0ebcda22e5fa9f307ed4,2025-10-27,CANCELLED,BOX
[],688480,2025-09-18,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-49e466334428b54ac9bb,s6ps-71bdb4dbb9c5c096,s6setup-85cd93587da6d8b0a5fd,2025-09-15,CANCELLED,BOTH
[],688480,2025-11-04,FILLED_FROZEN_PLAN,s6order-3c199e3483c3c86dd754,s6ps-71bdb4dbb9c5c096,s6setup-1ee9a9afea96750fe1f1,2025-10-30,FILLED,BOTH
