constraint_checks,constraint_passed,expectancy_r,max_drawdown,maximum_available_score,missing_components,net_return,parameter_set_id,parameters,profit_factor,robust_score,trades
"{""max_drawdown_pct"": true, ""min_expectancy_r"": false, ""min_profit_factor"": false, ""min_total_trades"": false}",False,-0.019505797101449254,0.23985869013368533,75,"[""rolling_window_consistency"", ""box_incremental_value""]",-0.10928148409399974,s6ps-63a31eb66a6b9d4a,"{""breakout_ready_position_min"": 0.75, ""broken_close_tolerance"": 0.03, ""compact_kline"": {""atr_contraction_ratio_max"": 0.8, ""avg_body_ratio_max"": 0.025, ""close_range_max"": 0.05, ""enabled"": true, ""max_body_ratio_max"": 0.04, ""max_gap_ratio"": 0.03, ""min_overlap_pair_count"": 3, ""min_overlap_ratio"": 0.5, ""premium_atr_contraction_ratio_max"": 0.65, ""premium_avg_body_ratio_max"": 0.018, ""premium_close_range_max"": 0.03, ""premium_overlap_ratio"": 0.65, ""window_days"": 5}, ""current_close_high_tolerance"": 0.03, ""current_close_low_tolerance"": 0.03, ""enabled"": true, ""low_test_close_tolerance_down"": 0.02, ""low_test_tolerance_up"": 0.02, ""max_box_days"": 30, ""max_volume_contraction_ratio"": 0.8, ""min_box_days"": 10, ""min_box_low_test_count"": 3, ""min_center_shift"": -0.01, ""normal_box_width_max"": 0.18, ""premium_box_width_max"": 0.12, ""premium_center_shift"": 0.0, ""premium_tail_volume_ratio_max"": 0.6, ""premium_volume_contraction_ratio"": 0.7, ""support_ready_position_max"": 0.4, ""tail_volume_ratio_max"": 0.8}",0.7912202024084899,3.45,69
"{""max_drawdown_pct"": true, ""min_expectancy_r"": false, ""min_profit_factor"": false, ""min_total_trades"": false}",False,-0.12278041249999999,0.23485667162699986,75,"[""rolling_window_consistency"", ""box_incremental_value""]",-0.2128814006819998,s6ps-e0005d0243dc43fa,"{""breakout_ready_position_min"": 0.75, ""broken_close_tolerance"": 0.03, ""compact_kline"": {""atr_contraction_ratio_max"": 0.8, ""avg_body_ratio_max"": 0.025, ""close_range_max"": 0.05, ""enabled"": true, ""max_body_ratio_max"": 0.04, ""max_gap_ratio"": 0.03, ""min_overlap_pair_count"": 3, ""min_overlap_ratio"": 0.5, ""premium_atr_contraction_ratio_max"": 0.65, ""premium_avg_body_ratio_max"": 0.018, ""premium_close_range_max"": 0.03, ""premium_overlap_ratio"": 0.65, ""window_days"": 5}, ""current_close_high_tolerance"": 0.03, ""current_close_low_tolerance"": 0.03, ""enabled"": true, ""low_test_close_tolerance_down"": 0.02, ""low_test_tolerance_up"": 0.02, ""max_box_days"": 30, ""max_volume_contraction_ratio"": 0.85, ""min_box_days"": 10, ""min_box_low_test_count"": 2, ""min_center_shift"": -0.03, ""normal_box_width_max"": 0.15, ""premium_box_width_max"": 0.12, ""premium_center_shift"": 0.0, ""premium_tail_volume_ratio_max"": 0.6, ""premium_volume_contraction_ratio"": 0.7, ""support_ready_position_max"": 0.4, ""tail_volume_ratio_max"": 0.7}",0.6464613006487098,4.0,80
"{""max_drawdown_pct"": true, ""min_expectancy_r"": true, ""min_profit_factor"": false, ""min_total_trades"": false}",False,0.12704440909090908,0.13948608896300818,75,"[""rolling_window_consistency"", ""box_incremental_value""]",-0.021306414574999932,s6ps-302e3a382d956a99,"{""breakout_ready_position_min"": 0.75, ""broken_close_tolerance"": 0.03, ""compact_kline"": {""atr_contraction_ratio_max"": 0.8, ""avg_body_ratio_max"": 0.025, ""close_range_max"": 0.05, ""enabled"": true, ""max_body_ratio_max"": 0.04, ""max_gap_ratio"": 0.03, ""min_overlap_pair_count"": 3, ""min_overlap_ratio"": 0.5, ""premium_atr_contraction_ratio_max"": 0.65, ""premium_avg_body_ratio_max"": 0.018, ""premium_close_range_max"": 0.03, ""premium_overlap_ratio"": 0.65, ""window_days"": 5}, ""current_close_high_tolerance"": 0.03, ""current_close_low_tolerance"": 0.03, ""enabled"": true, ""low_test_close_tolerance_down"": 0.02, ""low_test_tolerance_up"": 0.02, ""max_box_days"": 25, ""max_volume_contraction_ratio"": 0.7, ""min_box_days"": 10, ""min_box_low_test_count"": 2, ""min_center_shift"": -0.02, ""normal_box_width_max"": 0.18, ""premium_box_width_max"": 0.12, ""premium_center_shift"": 0.0, ""premium_tail_volume_ratio_max"": 0.6, ""premium_volume_contraction_ratio"": 0.7, ""support_ready_position_max"": 0.4, ""tail_volume_ratio_max"": 0.6}",0.9382464567396961,14.904441,44
