box_quality_tag,box_status,candidate_type,code,commission,compact_kline_pass,entry_date,entry_price,exit_date,exit_price,exit_reason,intraday_stop_breach,net_profit,net_return,parameter_set_id,r_multiple,setup_id,signal_date,slippage,stop_loss_price,tail_path,tax,total_score,trade_id
NONE,BOX_BREAKOUT_READY,WATCH_CANDIDATE,002189,10.0,False,2025-07-22,26.7267,2025-08-01,25.40457,STOP,False,-143.535368,-0.05370486,s6ps-71bdb4dbb9c5c096,-1.019611,s6setup-6b5c74301b039d95fcf7,2025-07-21,0.052131,25.43,BOX,1.3223589999999998,74,s6trade-1987687bcb16c70609f4
NONE,BOX_SUPPORT_READY,WATCH_CANDIDATE,002210,10.0,False,2025-07-17,2.88288,2025-08-14,3.0969,MAX_HOLDING,False,11.241174,0.03899286,s6ps-71bdb4dbb9c5c096,1.313973,s6setup-3c527aa803492bc46e6e,2025-07-16,0.00598,2.72,BOX,0.16082500000000002,69,s6trade-7238bba3224aa848103a
BOX_COMPACT_READY,BOX_SUPPORT_READY,KEY_CANDIDATE,002215,10.0,True,2025-06-17,10.82081,2025-06-19,10.20978,STOP,False,-71.63452,-0.0662007,s6ps-71bdb4dbb9c5c096,-1.01701,s6setup-20e2233bacc25d90b400,2025-06-16,0.021031,10.22,BOX,0.53152,79,s6trade-e99a39c3c4d9d1faefbe
BOX_COMPACT_READY,BOX_SUPPORT_READY,WATCH_CANDIDATE,002266,10.0,True,2025-08-07,3.574571,2025-09-04,3.957039,MAX_HOLDING,False,28.041416,0.07844694,s6ps-71bdb4dbb9c5c096,1.6305,s6setup-4cab1a9a8619d98012cf,2025-08-06,0.007532,3.34,BOX,0.205384,74,s6trade-86d108d3b75b2d7a0bf8
NONE,BOX_SUPPORT_READY,WATCH_CANDIDATE,002273,10.0,False,2024-11-22,21.14112,2024-11-25,20.00997,STOP,False,-124.15666,-0.05872757,s6ps-71bdb4dbb9c5c096,-1.018027,s6setup-52ee156bbd13078c93bf,2024-11-21,0.041151,20.03,BOX,1.041649,72,s6trade-7f446ba25e450c7cccd7
NONE,BOX_BREAKOUT_READY,WATCH_CANDIDATE,002317,10.0,False,2025-07-02,15.40539,2025-07-29,18.96102,TARGET,False,344.580585,0.22367534,s6ps-71bdb4dbb9c5c096,4.36065,s6setup-7cf3aadef71694a02d4f,2025-07-01,0.034366,14.59,BOTH,0.982417,76,s6trade-214bc29858e5eaa5d8ce
NONE,BOX_SUPPORT_READY,KEY_CANDIDATE,002342,10.0,False,2025-07-25,7.35735,2025-08-04,6.80319,STOP_GAP,False,-65.770317,-0.08939403,s6ps-71bdb4dbb9c5c096,-1.092264,s6setup-9d1b0130a0ec33cd3b7d,2025-07-24,0.014161,6.85,BOX,0.354321,75,s6trade-9da963da8ef35e91f8ae
NONE,BOX_BREAKOUT_READY,KEY_CANDIDATE,002378,10.0,False,2025-09-15,13.39338,2025-09-18,12.17781,STOP,False,-132.191469,-0.09869911,s6ps-71bdb4dbb9c5c096,-1.01013,s6setup-c4520a011b1400a27c31,2025-09-12,0.025571,12.19,BOTH,0.634462,81,s6trade-12b0f33af6114e272314
BOX_COMPACT_READY,BOX_SUPPORT_READY,WATCH_CANDIDATE,002414,10.0,True,2025-03-19,8.41841,2025-03-24,8.0919,STOP,False,-43.072104,-0.05116418,s6ps-71bdb4dbb9c5c096,-1.025439,s6setup-69845d041e093da07ee9,2025-03-18,0.01651,8.1,BOTH,0.421105,90,s6trade-851e62742608db99a091
BOX_COMPACT_READY,BOX_SUPPORT_READY,WATCH_CANDIDATE,002414,10.0,True,2025-03-20,8.4084,2025-03-24,8.08191,STOP,False,-43.069582,-0.05122209,s6ps-71bdb4dbb9c5c096,-1.025408,s6setup-1739e39dc9c44c58e395,2025-03-19,0.01649,8.09,BOTH,0.420585,69,s6trade-72a98b18325801660892
BOX_COMPACT_READY,BOX_SUPPORT_READY,WATCH_CANDIDATE,002422,10.0,True,2025-04-21,32.508476,2025-04-30,30.815154,STOP_GAP,False,-180.936293,-0.05565819,s6ps-71bdb4dbb9c5c096,-1.093541,s6setup-66b94f4616fa6ea3f91b,2025-04-18,0.063324,30.96,BOX,1.604082,77,s6trade-e044cc8efe1c129ee4f8
NONE,BOX_SUPPORT_READY,WATCH_CANDIDATE,002428,10.0,False,2025-09-10,27.40738,2025-10-16,28.01196,MAX_HOLDING,False,49.001984,0.01787912,s6ps-71bdb4dbb9c5c096,0.298208,s6setup-dc2887ba620b0c0442bf,2025-09-09,0.055419,25.38,BOX,1.4560170000000001,68,s6trade-b002e4b6b61af455a21e
NONE,BOX_BREAKOUT_READY,WATCH_CANDIDATE,002475,10.0,False,2025-10-23,59.19914,2025-11-11,56.22372,STOP,False,-310.468587,-0.05244478,s6ps-71bdb4dbb9c5c096,-1.01928,s6setup-278336658c72358f4295,2025-10-22,0.115423,56.28,BOX,2.926609,71,s6trade-bf31d3a665db6ec066e2
NONE,BOX_BREAKOUT_READY,WATCH_CANDIDATE,002518,10.0,False,2025-03-10,27.74772,2025-03-24,26.12385,STOP,False,-173.747066,-0.0626167,s6ps-71bdb4dbb9c5c096,-1.016367,s6setup-efe52db6cbf333d06fe7,2025-03-07,0.053872,26.15,BOX,1.3600649999999999,64,s6trade-103f6e189fd25be457db
NONE,BOX_STABLE,WATCH_CANDIDATE,002518,10.0,False,2025-03-11,27.57755,2025-03-24,26.30367,STOP,False,-138.757077,-0.05031523,s6ps-71bdb4dbb9c5c096,-1.021105,s6setup-f206f39667a370bf3be5,2025-03-10,0.053881,26.33,BOTH,1.369065,74,s6trade-6cddbb7c351f78c2d023
BOX_COMPACT_READY,BOX_SUPPORT_READY,WATCH_CANDIDATE,002549,10.0,True,2025-07-18,11.22121,2025-08-13,13.97601,TARGET,False,264.756,0.23594247,s6ps-71bdb4dbb9c5c096,4.043981,s6setup-94d323a8e87e2f5f2975,2025-07-17,0.025197,10.54,BOX,0.723998,75,s6trade-8ca4644be809f5249b46
NONE,BOX_SUPPORT_READY,WATCH_CANDIDATE,002570,10.0,False,2025-08-19,7.19719,2025-09-03,6.70329,STOP,False,-59.739066,-0.08300332,s6ps-71bdb4dbb9c5c096,-1.013773,s6setup-fb7486452e9473d13c9e,2025-08-18,0.0139,6.71,BOX,0.34906400000000004,74,s6trade-ac8df933d937fb6ea994
NONE,BOX_SUPPORT_READY,KEY_CANDIDATE,002600,10.0,False,2024-11-11,8.48848,2024-11-25,7.8921,STOP,False,-70.048983,-0.08252241,s6ps-71bdb4dbb9c5c096,-1.013424,s6setup-683787f79104f8ee2e19,2024-11-08,0.016381,7.9,BOTH,0.41098599999999996,76,s6trade-4aa65fc8afd1f3e66a4b
NONE,BOX_BREAKOUT_READY,KEY_CANDIDATE,002600,10.0,False,2025-09-16,14.47446,2025-10-22,14.70528,MAX_HOLDING,False,12.317563,0.00850986,s6ps-71bdb4dbb9c5c096,0.208989,s6setup-15c1604499c396f1967b,2025-09-15,0.02918,13.37,BOX,0.764444,76,s6trade-90f8a512f0a9fab63988
BOX_COMPACT_READY,BOX_STABLE,WATCH_CANDIDATE,002709,10.0,True,2025-10-22,34.336302,2025-11-10,45.57438,TARGET,False,1111.449168,0.32369507,s6ps-71bdb4dbb9c5c096,4.262819,s6setup-0c843cc5db500181bac6,2025-10-21,0.079911,31.7,BOX,2.3586300000000002,70,s6trade-572db090e4a83d9432c8
NONE,BOX_SUPPORT_READY,WATCH_CANDIDATE,002716,10.0,False,2025-07-31,4.51451,2025-08-26,5.42457,TARGET,False,80.724834,0.17881195,s6ps-71bdb4dbb9c5c096,5.531943,s6setup-23c0ab606153f11f5994,2025-07-30,0.009939,4.35,BOX,0.281167,74,s6trade-ab2bfd1c3defb9b70670
NONE,BOX_SUPPORT_READY,WATCH_CANDIDATE,002759,10.0,False,2025-10-28,22.56254,2025-10-31,30.43953,TARGET,False,776.12403,0.34398788,s6ps-71bdb4dbb9c5c096,4.4439,s6setup-6f1bae332badff38d281,2025-10-27,0.053002,20.79,BOX,1.574978,68,s6trade-33c09ead727c56f71ca6
BOX_COMPACT_READY,BOX_SUPPORT_READY,KEY_CANDIDATE,002941,10.0,True,2025-10-31,18.72871,2025-11-06,17.32266,STOP,False,-151.507192,-0.08089569,s6ps-71bdb4dbb9c5c096,-1.012486,s6setup-a756fa7434d035f41ef2,2025-10-30,0.036051,17.34,BOTH,0.9021840000000001,76,s6trade-276c4d3e366d9f62a2a5
BOX_COMPACT_READY,BOX_SUPPORT_READY,KEY_CANDIDATE,002941,10.0,True,2025-11-04,18.3183,2025-11-06,17.46252,STOP,False,-96.486901,-0.05267241,s6ps-71bdb4dbb9c5c096,-1.020852,s6setup-62af70ba5de083ee7e01,2025-11-03,0.035781,17.48,BOTH,0.9089069999999999,77,s6trade-643aeea33509be639067
NONE,BOX_SUPPORT_READY,WATCH_CANDIDATE,300001,10.0,False,2025-10-29,27.87785,2025-11-21,26.35362,STOP,False,-163.794914,-0.0587545,s6ps-71bdb4dbb9c5c096,-1.017612,s6setup-8e6c71012fb3d3d76322,2025-10-28,0.054231,26.38,BOX,1.371912,74,s6trade-72a7a49912d623e0d2e2
NONE,BOX_SUPPORT_READY,WATCH_CANDIDATE,300009,10.0,False,2025-08-27,11.46145,2025-08-28,10.8891,STOP_GAP,True,-67.801801,-0.05915639,s6ps-71bdb4dbb9c5c096,-1.0379,s6setup-3e11a9b6b498022e3e3b,2025-08-26,0.022351,10.91,BOX,0.566806,87,s6trade-09e0e5aa1d93c27521be
NONE,BOX_FORMING,KEY_CANDIDATE,300046,10.0,False,2024-11-13,44.7447,2024-11-18,39.27069,STOP_GAP,False,-559.448532,-0.12503124,s6ps-71bdb4dbb9c5c096,-1.078686,s6setup-80d778573b45a6448eaf,2024-11-12,0.084015,39.67,ORIGINAL,2.04755,78,s6trade-b4fb26a70418e8f841fa
NONE,BOX_FORMING,KEY_CANDIDATE,300061,10.0,False,2024-11-12,18.09808,2024-11-14,16.15383,STOP,False,-205.266939,-0.11341918,s6ps-71bdb4dbb9c5c096,-1.008387,s6setup-da799d9c466c9a1bd1c9,2024-11-11,0.034252,16.17,ORIGINAL,0.841943,76,s6trade-7432b83b0b804c9085ae
NONE,BOX_SUPPORT_READY,KEY_CANDIDATE,300102,10.0,False,2024-11-13,13.4134,2024-11-18,11.96802,STOP,False,-155.161785,-0.1156767,s6ps-71bdb4dbb9c5c096,-1.008358,s6setup-5c64756c89da797ce137,2024-11-12,0.025381,11.98,BOX,0.623782,75,s6trade-db9526d9c088af13c85f
BOX_COMPACT_READY,BOX_SUPPORT_READY,KEY_CANDIDATE,300183,10.0,True,2025-03-21,21.1211,2025-03-24,19.4805,STOP,False,-175.074635,-0.08289087,s6ps-71bdb4dbb9c5c096,-1.012029,s6setup-314c58c296b156d1537c,2025-03-20,0.040602,19.5,BOX,1.014627,76,s6trade-a39f802371c5f509dbe5
BOX_COMPACT_READY,BOX_SUPPORT_READY,KEY_CANDIDATE,300199,10.0,True,2025-06-30,16.29628,2025-07-28,19.10088,MAX_HOLDING,False,269.469566,0.16535649,s6ps-71bdb4dbb9c5c096,2.425537,s6setup-98b6d5982ad98654f26b,2025-06-27,0.035397,15.14,BOTH,0.990441,78,s6trade-381dc908fd531a574bfd
NONE,BOX_SUPPORT_READY,WATCH_CANDIDATE,300204,10.0,False,2025-06-26,33.033,2025-07-01,44.5554,TARGET,False,1139.934641,0.34508965,s6ps-71bdb4dbb9c5c096,2.465739,s6setup-9c182d59a5d74d9b9c2f,2025-06-25,0.077588,28.36,BOX,2.305358,62,s6trade-5e8c3a20cac8f5555a49
NONE,BOX_SUPPORT_READY,WATCH_CANDIDATE,300258,10.0,False,2025-03-31,14.53452,2025-04-01,13.75623,STOP_GAP,True,-88.545095,-0.06092055,s6ps-71bdb4dbb9c5c096,-1.10471,s6setup-067f3d614b1a9b2ca067,2025-03-28,0.028291,13.83,BOX,0.7161029999999999,71,s6trade-3c052e8d4d1922fcf5eb
NONE,BOX_SUPPORT_READY,WATCH_CANDIDATE,300293,10.0,False,2024-10-30,28.23821,2024-11-11,39.10086,TARGET,False,1074.242616,0.38042164,s6ps-71bdb4dbb9c5c096,3.323731,s6setup-2f57feeea609bcb0e16b,2024-10-29,0.067339,24.97,BOX,2.022382,71,s6trade-09fa4b77da71364676c5
NONE,BOX_SUPPORT_READY,WATCH_CANDIDATE,300307,10.0,False,2025-03-13,9.73973,2025-04-03,9.13086,STOP,False,-71.362417,-0.0732694,s6ps-71bdb4dbb9c5c096,-1.01524,s6setup-c4931d99b7cb67258402,2025-03-12,0.018871,9.14,BOX,0.475414,73,s6trade-9ca46275223ca063263c
NONE,BOX_SUPPORT_READY,WATCH_CANDIDATE,300377,10.0,False,2024-12-16,33.1331,2024-12-18,30.19977,STOP,False,-304.906326,-0.09202469,s6ps-71bdb4dbb9c5c096,-1.010413,s6setup-861e18604179a7947c08,2024-12-13,0.063333,30.23,BOX,1.5733210000000002,68,s6trade-3e8b674cbb6d8c34124f
NONE,BOX_SUPPORT_READY,WATCH_CANDIDATE,300390,10.0,False,2025-12-05,49.86982,2025-12-31,54.55539,MAX_HOLDING,False,455.724828,0.09138289,s6ps-71bdb4dbb9c5c096,0.964145,s6setup-febba4e8286185632756,2025-12-04,0.104425,45.01,BOX,2.832195,73,s6trade-ebffe62c01fbdd5c0426
BOX_COMPACT_READY,BOX_STABLE,WATCH_CANDIDATE,300450,10.0,True,2025-07-10,23.448425,2025-07-22,26.14383,TARGET,False,258.183714,0.11010706,s6ps-71bdb4dbb9c5c096,3.700319,s6setup-adf6c601c300982c2d25,2025-07-09,0.049592,22.72,BOX,1.356784,72,s6trade-0a99be841dffe90668c6
NONE,BOX_SUPPORT_READY,KEY_CANDIDATE,300454,10.0,False,2025-11-18,119.119,2025-11-21,111.91797,STOP,False,-735.929928,-0.06178107,s6ps-71bdb4dbb9c5c096,-1.015803,s6setup-1bff905e3d72741ea32a,2025-11-17,0.231037,112.03,BOX,5.826935,89,s6trade-be6a0f442e930c3a0f06
