audit_tags,code,expire_date,fill_reason,order_id,parameter_set_id,setup_id,signal_date,status,tail_path
[],300502,2025-08-12,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-b5331b5c2029260c79c9,s6ps-302e3a382d956a99,s6setup-8b8605ce917d1a57ea59,2025-08-07,CANCELLED,ORIGINAL
[],300502,2025-12-30,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-702b6569be19cec204f7,s6ps-302e3a382d956a99,s6setup-d0756c36d764792175ea,2025-12-25,CANCELLED,ORIGINAL
[],300502,2025-12-31,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-170d2094b8e0fc1c52ad,s6ps-302e3a382d956a99,s6setup-ca599d86b768b8b09c65,2025-12-29,CANCELLED,BOX
[],300502,2025-12-31,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-0125fdfd75612937476d,s6ps-302e3a382d956a99,s6setup-48005534497e2d6e8304,2025-12-30,CANCELLED,BOX
[],300503,2025-09-16,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-25340605bcafda51c7d9,s6ps-302e3a382d956a99,s6setup-83baf6f8bf2de5845022,2025-09-11,CANCELLED,ORIGINAL
[],300503,2025-09-17,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-d0227250f61bd0ec9e86,s6ps-302e3a382d956a99,s6setup-71e6a8ae446a1b7428f2,2025-09-12,CANCELLED,ORIGINAL
[],300503,2025-09-18,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-3b04a3b0abab439d113a,s6ps-302e3a382d956a99,s6setup-dee8f20edaf2344d5bc5,2025-09-15,CANCELLED,ORIGINAL
[],300600,2025-08-28,FILLED_FROZEN_PLAN,s6order-cb208e84f39b6d78cb7f,s6ps-302e3a382d956a99,s6setup-505fdc69398e03985840,2025-08-25,FILLED,BOX
[],300603,2025-03-11,FILLED_FROZEN_PLAN,s6order-f7d8f3e0ee07c0f361c2,s6ps-302e3a382d956a99,s6setup-e4b882cc76f264f60fa3,2025-03-06,FILLED,BOX
[],300604,2025-09-19,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-6e642e06a7084dbafd49,s6ps-302e3a382d956a99,s6setup-541f126d80173b7eb722,2025-09-16,CANCELLED,ORIGINAL
