experiment_id,evaluation_date,code,name,setup_id,candidate_type,entry_timing_state,entry_timing_executable,entry_timing_evidence_count,probability_rr_status,probability_rr_sample_count,probability_rr_target_1_hit_probability,probability_rr_target_2_hit_probability,probability_adjusted_r
S6_ENTRY_E0_BASELINE,2024-07-01,601138,工业富联,s6setup-30949657f005e4e7ad28,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-07-02,601138,工业富联,s6setup-30949657f005e4e7ad28,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,3,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-07-03,002463,沪电股份,s6setup-36dae2d212a409c0fe1f,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,4,RELIABLE,250,0.48,0.152,0.59275
S6_ENTRY_E0_BASELINE,2024-07-04,002463,沪电股份,s6setup-36dae2d212a409c0fe1f,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,4,RELIABLE,250,0.596,0.172,0.620979
S6_ENTRY_E0_BASELINE,2024-07-05,002463,沪电股份,s6setup-5a1263c01542aa63ccf8,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-07-08,002463,沪电股份,s6setup-36dae2d212a409c0fe1f,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,3,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-07-15,600312,平高电气,s6setup-e9a560efcad557642ac1,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-09-19,600418,江淮汽车,s6setup-9856079f5e2d0d43fc87,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-23,002142,宁波银行,s6setup-97cfe18a693f17ebc4f6,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-24,002142,宁波银行,s6setup-1e29f4e0d840d2523b33,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,3,RELIABLE,250,0.32,0.092,0.044683
S6_ENTRY_E0_BASELINE,2024-10-25,002142,宁波银行,s6setup-502a5dcb540786350afb,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,5,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-25,300925,法本信息,s6setup-d30fce650daba787ff76,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,3,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-25,601186,中国铁建,s6setup-af11af9996de7f907a8d,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-25,601318,中国平安,s6setup-dd9d59b135b21a91db46,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,3,RELIABLE,250,0.392,0.152,0.459398
S6_ENTRY_E0_BASELINE,2024-10-25,601336,新华保险,s6setup-ae409aecc4671570a769,KEY_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-25,688090,瑞松科技,s6setup-f5b842b9eed62e75172e,WATCH_CANDIDATE,SUPPORT_FORMING,False,4,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-28,002371,北方华创,s6setup-f52b8d8051a025bd2150,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-28,300293,蓝英装备,s6setup-9bd84923404891e10b11,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-28,300709,精研科技,s6setup-5b2041e9a58ee0c21425,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-28,300750,宁德时代,s6setup-9e65aa9fcaf21c87e545,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,4,RELIABLE,250,0.248,0.16,0.083074
S6_ENTRY_E0_BASELINE,2024-10-28,601186,中国铁建,s6setup-af11af9996de7f907a8d,KEY_CANDIDATE,SUPPORT_FORMING,False,3,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-28,601318,中国平安,s6setup-98c0b474d9979a45cc3c,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-28,688658,悦康药业,s6setup-1597925ea0841ae92584,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,5,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-29,300293,蓝英装备,s6setup-2f57feeea609bcb0e16b,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,3,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-29,300433,蓝思科技,s6setup-ce55436529fac87c0148,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-29,300709,精研科技,s6setup-1a47687228730efc7c66,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,5,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-29,300750,宁德时代,s6setup-9e65aa9fcaf21c87e545,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,3,RELIABLE,250,0.172,0.168,-0.200912
S6_ENTRY_E0_BASELINE,2024-10-29,601336,新华保险,s6setup-96f5e92fb6957b29f889,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,4,RELIABLE,250,0.392,0.208,0.182098
S6_ENTRY_E0_BASELINE,2024-10-29,688658,悦康药业,s6setup-1597925ea0841ae92584,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,3,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-30,300293,蓝英装备,s6setup-2f57feeea609bcb0e16b,WATCH_CANDIDATE,SUPPORT_FORMING,False,4,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-30,300310,宜通世纪,s6setup-bad2851bb68ffb07f8d7,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-30,300433,蓝思科技,s6setup-ce55436529fac87c0148,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-30,688658,悦康药业,s6setup-1597925ea0841ae92584,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,5,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-31,000768,中航西飞,s6setup-bd4b5f1a5e26f455d992,KEY_CANDIDATE,SUPPORT_FORMING,False,2,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-31,300139,晓程科技,s6setup-03ac53b95d0ed4d67393,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,4,RELIABLE,250,0.544,0.168,0.618102
S6_ENTRY_E0_BASELINE,2024-10-31,300293,蓝英装备,s6setup-2f57feeea609bcb0e16b,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,5,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-31,300433,蓝思科技,s6setup-ce55436529fac87c0148,KEY_CANDIDATE,INVALID,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-31,300469,信息发展,s6setup-972ecff6bc6b3c765fc4,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,3,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-31,600415,小商品城,s6setup-972b529ace9e37bf0db0,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,4,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-10-31,688658,悦康药业,s6setup-ad8817890ee0b72512c3,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,3,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-01,300139,晓程科技,s6setup-06fe080981f712a2689e,WATCH_CANDIDATE,SUPPORT_FORMING,False,2,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-01,300293,蓝英装备,s6setup-2f57feeea609bcb0e16b,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,3,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-01,600326,西藏天路,s6setup-f5d42d94a6ae9189bdc1,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,5,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-04,300394,天孚通信,s6setup-a0e81f7cbc75b159986b,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-05,300394,天孚通信,s6setup-8ead4a2d70dd6c4cbec2,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-05,603606,东方电缆,s6setup-39fd8e4c4023e6fc31b9,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
