audit_tags,brooks_setup_types,brooks_status,code,expire_date,fill_reason,multi_path_confirmed,order_id,parameter_set_id,passed_path_count,setup_id,signal_date,status,tail_path,tail_path_summary,tail_paths,tail_primary_path
[],[],BROOKS_CONTEXT_REJECT,000750,2024-11-19,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-cd7edb2df3cb886cf56f,s6ps-f03199f3e7189f9b,1,s6setup-e459568fec156d570031,2024-11-14,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_CONTEXT_REJECT,000768,2024-11-05,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-935cb590176ec5db4160,s6ps-f03199f3e7189f9b,1,s6setup-4bfd30c5efabe688957a,2024-10-31,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,000829,2024-11-19,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-f56034221f943f73df88,s6ps-f03199f3e7189f9b,2,s6setup-085cfe806f3931768d77,2024-11-14,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],"[""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_FAILED,002130,2024-11-12,FILLED_FROZEN_PLAN,False,s6order-dc3f1c676f72d8c48e06,s6ps-f03199f3e7189f9b,1,s6setup-601520cd7eade1a86625,2024-11-07,FILLED,BOX,BOX,"[""BOX""]",BOX
[],"[""MICRO_DOUBLE_BOTTOM"", ""SECOND_ENTRY_LONG_READY"", ""FAILED_BEAR_BREAKOUT"", ""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_CONTEXT_REJECT,002139,2024-12-31,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-a3c46bf1d3127f674f63,s6ps-f03199f3e7189f9b,1,s6setup-fd1e90188568d41c4d76,2024-12-26,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,002142,2024-10-29,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-c7e285f99792c8c085f4,s6ps-f03199f3e7189f9b,3,s6setup-ffdd0041308f3fe5cc72,2024-10-24,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX"", ""BROOKS""]",ORIGINAL
[],"[""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_CONTEXT_REJECT,002273,2024-11-26,FILLED_FROZEN_PLAN,False,s6order-1708c2fa065e31fa6e4c,s6ps-f03199f3e7189f9b,1,s6setup-0edb436cdc3ef2cfe9c5,2024-11-21,FILLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_CONTEXT_REJECT,002281,2024-11-26,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-a1727a74a711e88fe7fb,s6ps-f03199f3e7189f9b,1,s6setup-27d1e1babb8b48110dbd,2024-11-21,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_CONTEXT_REJECT,002463,2024-03-28,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-ce4ee57049468c936ff6,s6ps-f03199f3e7189f9b,1,s6setup-d6af2725e1ec60f512e7,2024-03-25,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_FAILED,300054,2024-11-05,FILLED_FROZEN_PLAN,False,s6order-f1a2bf54e1de0d9c7cde,s6ps-f03199f3e7189f9b,1,s6setup-e9448b7788c0b695479a,2024-10-31,FILLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_FAILED,300139,2024-11-05,FILLED_FROZEN_PLAN,False,s6order-5dd05458a65345e51a15,s6ps-f03199f3e7189f9b,1,s6setup-07f14cf51322453b8607,2024-10-31,FILLED,ORIGINAL,ORIGINAL,"[""ORIGINAL""]",ORIGINAL
[],[],BROOKS_FAILED,300210,2024-03-21,FILLED_FROZEN_PLAN,False,s6order-4583c379d3d45f5eb2b6,s6ps-f03199f3e7189f9b,1,s6setup-86918b98cb309eb4bbcc,2024-03-18,FILLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_FAILED,300256,2024-11-19,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-a7a689f1846c6b4fc94b,s6ps-f03199f3e7189f9b,1,s6setup-f5234fdcb28fc48d4666,2024-11-14,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],"[""MICRO_DOUBLE_BOTTOM"", ""BEAR_FOLLOW_THROUGH_FAILED""]",MICRO_DOUBLE_BOTTOM,300276,2024-12-31,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-0b9c0550a330566ae3f8,s6ps-f03199f3e7189f9b,1,s6setup-803ae6b4233c676c4f49,2024-12-26,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT"", ""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_CONTEXT_REJECT,300293,2024-11-05,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-a4a20ebebc9f608fdf4f,s6ps-f03199f3e7189f9b,1,s6setup-2f57feeea609bcb0e16b,2024-10-31,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_CONTEXT_REJECT,300370,2024-12-24,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-e65aa13a821cc3245550,s6ps-f03199f3e7189f9b,1,s6setup-407f2bb2aee712d9378a,2024-12-19,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_FAILED,300458,2024-11-12,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-8121c8d419eca84cca8c,s6ps-f03199f3e7189f9b,1,s6setup-25bbcad2374f7a725012,2024-11-07,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_CONTEXT_REJECT,300459,2024-12-24,FILLED_FROZEN_PLAN,False,s6order-84cdca28301dc5573f7f,s6ps-f03199f3e7189f9b,1,s6setup-dbc04670d4bf601779fa,2024-12-19,FILLED,BOX,BOX,"[""BOX""]",BOX
[],"[""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_FAILED,300469,2024-11-05,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-338a7ce39494a18c2e86,s6ps-f03199f3e7189f9b,1,s6setup-972ecff6bc6b3c765fc4,2024-10-31,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,300622,2024-12-10,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-9c12fba694e5a34db5ed,s6ps-f03199f3e7189f9b,1,s6setup-13da6c45b5d49d0862b6,2024-12-05,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],[],BROOKS_CONTEXT_REJECT,300671,2024-11-05,FILLED_FROZEN_PLAN,False,s6order-b190dd166bd43826c939,s6ps-f03199f3e7189f9b,1,s6setup-d2454cabd0055c13a98d,2024-10-31,FILLED,BOX,BOX,"[""BOX""]",BOX
[],"[""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_FAILED,300781,2024-04-08,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-30a653773cb1acca74ab,s6ps-f03199f3e7189f9b,2,s6setup-6d464b8c5b5936e80a75,2024-04-01,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,600312,2024-06-28,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-ac2acd1b725aaa4aed7c,s6ps-f03199f3e7189f9b,2,s6setup-c72bafc2d96134d3950c,2024-06-25,CANCELLED,BOX,MULTI,"[""BOX"", ""BROOKS""]",BROOKS
[],[],BROOKS_CONTEXT_REJECT,600316,2024-11-19,FILLED_FROZEN_PLAN,False,s6order-b60bf6d919c515d61175,s6ps-f03199f3e7189f9b,1,s6setup-5557a5a7600aa536bf80,2024-11-14,FILLED,BOX,BOX,"[""BOX""]",BOX
[],[],COMPACT_BEARISH_REJECT,600415,2024-11-05,FILLED_FROZEN_PLAN,False,s6order-7a9a85ff89958dc24e57,s6ps-f03199f3e7189f9b,1,s6setup-eac28ea53ffdad511a2a,2024-10-31,FILLED,BOX,BOX,"[""BOX""]",BOX
[],"[""FAILED_BEAR_BREAKOUT""]",FAILED_BEAR_BREAKOUT,600418,2024-09-24,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-c4d33854ec9a941305e2,s6ps-f03199f3e7189f9b,1,s6setup-9856079f5e2d0d43fc87,2024-09-19,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],"[""FAILED_BEAR_BREAKOUT"", ""BEAR_FOLLOW_THROUGH_FAILED""]",FAILED_BEAR_BREAKOUT,600601,2024-11-12,CANCEL_OPEN_ABOVE_BUY_ZONE,False,s6order-690c89ff2880b5194b0b,s6ps-f03199f3e7189f9b,1,s6setup-ea11752325e96b7712d9,2024-11-07,CANCELLED,BOX,BOX,"[""BOX""]",BOX
[],"[""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_FAILED,600843,2024-11-19,FILLED_FROZEN_PLAN,False,s6order-95c2122670ab4a69319f,s6ps-f03199f3e7189f9b,1,s6setup-3c0b64943e06bf1b0862,2024-11-14,FILLED,BOX,BOX,"[""BOX""]",BOX
[],"[""MICRO_DOUBLE_BOTTOM"", ""FAILED_BEAR_BREAKOUT""]",BROOKS_CONTEXT_REJECT,601127,2024-03-28,FILLED_FROZEN_PLAN,False,s6order-af7eee32101148c0cc33,s6ps-f03199f3e7189f9b,1,s6setup-437d28e1721ada013542,2024-03-25,FILLED,BOX,BOX,"[""BOX""]",BOX
[],"[""MICRO_DOUBLE_BOTTOM"", ""SECOND_ENTRY_LONG_READY"", ""FAILED_BEAR_BREAKOUT""]",BROOKS_CONTEXT_REJECT,601138,2024-07-05,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-284e8abcffc557de16cc,s6ps-f03199f3e7189f9b,2,s6setup-e7c90a3f467ca60587d1,2024-07-02,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],[],BROOKS_FAILED,601168,2024-04-08,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-f41bdefb93ea515d1fab,s6ps-f03199f3e7189f9b,2,s6setup-a8d44e8860c7bc613f58,2024-04-01,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
[],"[""MICRO_DOUBLE_BOTTOM"", ""SECOND_ENTRY_LONG_READY"", ""FAILED_BEAR_BREAKOUT"", ""BEAR_FOLLOW_THROUGH_FAILED""]",BROOKS_CONTEXT_REJECT,601615,2024-12-17,CANCEL_OPEN_ABOVE_BUY_ZONE,True,s6order-df3701b34fa1ca98da62,s6ps-f03199f3e7189f9b,2,s6setup-8d97ee6c589ea1ecf708,2024-12-12,CANCELLED,BOTH,MULTI,"[""ORIGINAL"", ""BOX""]",ORIGINAL
